model,question,expected,generated,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,response_time
Baseline_LSTM,What are the primary mechanisms underlying hypertension in e...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,"Hypertension results from increased sympathetic activity, altered renal sodium handling, endothelial...",0.4047619047619047,0.2195121951219512,0.35714285714285715,0.7879739,0.75,0.05546426773071289
Baseline_LSTM,Explain the pathophysiology and clinical manifestations of c...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,"Heart failure occurs when cardiac output cannot meet metabolic demands, leading to pulmonary congest...",0.4761904761904762,0.14634146341463417,0.35714285714285715,0.7472775,0.5,0.027007341384887695
Baseline_LSTM,Discuss the causes and management of iron deficiency anemia....,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...","Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.17500000000000002,0.0,0.125,0.2725244,0.5,0.028946399688720703
Baseline_LSTM,Describe the etiology and diagnostic approach to chronic kid...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,"Chronic kidney disease involves progressive loss of renal function, managed with BP control, dietary...",0.3095238095238095,0.17073170731707318,0.28571428571428575,0.6335968,0.5714285714285714,0.029996871948242188
Baseline_LSTM,Outline the pathogenesis and treatment of type 2 diabetes me...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,"Diabetes mellitus is characterized by hyperglycemia due to insulin deficiency or resistance, with co...",0.24000000000000002,0.027397260273972605,0.21333333333333332,0.6253397,0.4,0.019115924835205078
Baseline_LSTM,"Explain the mechanisms, diagnosis, and management of acute m...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"Heart failure occurs when cardiac output cannot meet metabolic demands, leading to pulmonary congest...",0.13953488372093026,0.02380952380952381,0.11627906976744186,0.19411859,0.16666666666666666,0.02136373519897461
Baseline_LSTM,Discuss the differential diagnosis and management of fever o...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,"Asthma is chronic airway inflammation with variable obstruction, treated with inhaled corticosteroid...",0.075,0.0,0.075,0.085559465,0.0,0.027570009231567383
Baseline_LSTM,Describe the clinical features and treatment of chronic obst...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...","Asthma is chronic airway inflammation with variable obstruction, treated with inhaled corticosteroid...",0.22857142857142854,0.029411764705882353,0.2,0.53497547,0.25,0.0337224006652832
Baseline_LSTM,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,"Heart failure occurs when cardiac output cannot meet metabolic demands, leading to pulmonary congest...",0.1794871794871795,0.026315789473684213,0.12820512820512822,0.25273186,0.3333333333333333,0.029361486434936523
Baseline_LSTM,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,"Asthma is chronic airway inflammation with variable obstruction, treated with inhaled corticosteroid...",0.11267605633802816,0.0,0.08450704225352113,0.079868525,0.0,0.03463435173034668
